Date,Stock_Position,Vega_Hedge_Position,Cash,Option_Value,Vega_Hedge_Value,Portfolio_Value,PnL,Vega_Main,Vega_Hedge,IV
2025-11-26,15.966332092731108,92.27754508342728,-384413.92449089343,99820.0,65831.40210124692,-1.4551915228366852e-11,-99820.00000000001,47.61999168789294,51.60517831812728,0.12517037073723167
2025-11-27,15.966332092731108,92.27754508342728,-384413.92449089343,99680.0,65595.05936386478,67.31216656831384,-99752.68783343169,47.242068712758744,51.31566417836214,0.1247558324108365
2025-11-28,15.966332092731108,92.27754508342728,-384413.92449089343,99355.0,65539.98595592372,136.06297425889352,-99683.9370257411,47.25296738785688,51.063516689654705,0.12715679362789684
2025-12-01,15.966332092731108,92.27754508342728,-384413.92449089343,95505.0,62338.924366122,350.71715153486,-99469.28284846514,46.73771309961919,50.24493635728477,0.12679287327581365
2025-12-02,15.966332092731108,92.27754508342728,-384413.92449089343,87105.0,56284.78211854752,404.6079320488352,-99415.39206795116,47.74717707477316,49.815749644874806,0.1295880482169922
2025-12-03,15.966332092731108,92.27754508342728,-384413.92449089343,79635.0,49810.64351063255,662.8247814496717,-99157.17521855033,47.59625400411028,49.36304525152069,0.12115730219602985
2025-12-04,15.966332092731108,92.27754508342728,-384413.92449089343,81640.0,51111.983395396834,721.5570236418716,-99098.44297635813,46.96218840094676,49.21007760309038,0.12049826396513694
2025-12-05,15.966332092731108,92.27754508342728,-384413.92449089343,89580.0,56535.814341619414,643.4468804244825,-99176.55311957552,45.127602323126496,49.081699686303736,0.11783368145945389
2025-12-08,15.966332092731108,92.27754508342728,-384413.92449089343,73550.0,44679.690595037144,1210.5287140942673,-98609.47128590573,46.356601231676315,47.66084016509512,0.11802752011147316
2025-12-09,15.966332092731108,92.27754508342728,-384413.92449089343,65745.0,39077.982578728246,1483.491147774228,-98336.50885222577,46.697715756746994,46.534779173374154,0.11771977621643175
2025-12-10,15.966332092731108,92.27754508342728,-384413.92449089343,59840.0,34763.41313306925,1770.270686743679,-98049.72931325632,46.63017215998134,45.39893629274739,0.1160460067375322
2025-12-11,15.966332092731108,92.27754508342728,-384413.92449089343,67090.0,39658.03170932616,1658.9572386339714,-98161.04276136603,45.85158892558562,46.26564558115112,0.11595374380495518
2025-12-12,15.966332092731108,92.27754508342728,-384413.92449089343,74455.0,44490.10673553042,1495.4359473995282,-98324.56405260047,44.48143215686877,46.72073308557518,0.11380859435506498
2025-12-15,15.966332092731108,92.27754508342728,-384413.92449089343,71380.0,42052.116421719715,1818.707207966654,-98001.29279203335,43.8082860096898,45.64332645616333,0.11382650087135061
2025-12-16,15.966332092731108,92.27754508342728,-384413.92449089343,60645.00000000001,34529.41806711337,2361.4381274556363,-97458.56187254436,44.55197921330272,44.13298951491631,0.11333410239574584
2025-12-17,15.966332092731108,92.27754508342728,-384413.92449089343,57300.0,32103.47470625821,2617.093668147507,-97202.90633185249,44.391964182509355,43.32689454975396,0.1124092808470603
2025-12-18,15.966332092731108,92.27754508342728,-384413.92449089343,56110.0,31128.89386512439,2784.613830735514,-97035.38616926449,44.09141656542186,42.88296789733941,0.11146074717147139
2025-12-19,15.966332092731108,92.27754508342728,-384413.92449089343,64170.00000000001,36439.70321417647,2443.944375976098,-97376.0556240239,43.05343425343641,43.871658257453845,0.11148912652570783
2025-12-22,15.966332092731108,92.27754508342728,-384413.92449089343,75870.0,44417.2079449121,2010.5135178143682,-97809.48648218563,40.29922109616363,43.721650496892025,0.1131373709430286
2025-12-23,15.966332092731108,92.27754508342728,-384413.92449089343,75300.0,43838.99639184757,2078.1420421902585,-97741.85795780974,39.9134193838478,43.3866354483344,0.1125575259450843
2025-12-24,15.966332092731108,92.27754508342728,-384413.92449089343,73370.0,42677.08763986617,2286.613350358617,-97533.38664964138,40.11828434084665,42.96373547657612,0.11507730161013065
2025-12-26,15.966332092731108,92.27754508342728,-384413.92449089343,64079.99999999999,35605.61693279356,2911.702700431437,-96908.29729956857,40.31387500098114,41.78255299501696,0.11088750179615908
2025-12-29,15.966332092731108,92.27754508342728,-384413.92449089343,56900.0,30734.418765898117,3620.6780578443067,-96199.32194215569,40.08847184142156,39.85485121409135,0.11278688030947683
2025-12-30,15.966332092731108,92.27754508342728,-384413.92449089343,56465.0,30452.126114866143,3721.4948275109928,-96098.505172489,39.7837374872921,39.437324397057694,0.1138144178927772
2025-12-31,15.966332092731108,92.27754508342728,-384413.92449089343,67770.0,37981.93994617942,2991.8865055127244,-96828.11349448728,38.01210890704956,40.35482083595029,0.1148051634739507
2026-01-01,15.966332092731108,92.27754508342728,-384413.92449089343,66935.0,36913.29836661661,3028.8742549216986,-96791.1257450783,37.3728749387245,40.03021457764624,0.11150060123983715
2026-01-02,15.966332092731108,92.27754508342728,-384413.92449089343,78700.0,44937.42067024299,2193.868999425147,-97626.13100057485,34.647202402222575,39.86135915333584,0.11189612292288996
2026-01-05,15.966332092731108,92.27754508342728,-384413.92449089343,69630.0,37708.18448974553,2785.267332671501,-97034.7326673285,34.45400491396025,38.75929882879409,0.10730191465957957
2026-01-06,15.966332092731108,92.27754508342728,-384413.92449089343,66360.0,36132.68973785628,3336.583202942682,-96483.41679705732,35.39552021751171,38.19085059177349,0.11364217639406858
2026-01-07,15.966332092731108,92.27754508342728,-384413.92449089343,62410.0,33118.89141859757,3666.862580764835,-96153.13741923516,35.37606597858167,37.60620453622379,0.11141206941766817
2026-01-08,15.966332092731108,92.27754508342728,-384413.92449089343,47920.0,24275.349591757094,5099.805714652626,-94720.19428534737,36.83094045747257,34.86725978996345,0.116512336534984
2026-01-09,15.966332092731108,92.27754508342728,-384413.92449089343,36820.0,17379.93154671186,6214.104093059286,-93605.89590694071,36.25991407277449,31.32508860255752,0.11480531965048488
2026-01-12,15.966332092731108,92.27754508342728,-384413.92449089343,40465.0,19285.516862685938,6182.288626350957,-93637.71137364904,35.31314863395186,31.638681404851862,0.11617481964459005
2026-01-13,15.966332092731108,92.27754508342728,-384413.92449089343,35020.0,15614.350777227417,7030.873596118632,-92789.12640388137,34.76524490717158,29.68818433023318,0.11071045017552543
2026-01-14,15.966332092731108,92.27754508342728,-384413.92449089343,32055.0,14063.194615663522,7379.763083969563,-92440.23691603044,34.02774323592751,28.086475513155424,0.11300518766326396
2026-01-16,15.966332092731108,92.27754508342728,-384413.92449089343,32700.0,14355.72437378258,7486.324889754644,-92333.67511024536,33.30145781941613,27.696604580231405,0.11510469303926638
2026-01-19,15.966332092731108,92.27754508342728,-384413.92449089343,25280.0,10028.367145692731,8841.03241337106,-90978.96758662895,31.03219857923887,23.423368173052804,0.11287086577662098
2026-01-20,15.966332092731108,92.27754508342728,-384413.92449089343,15635.0,5840.370609712299,8661.92064865653,-91158.07935134348,25.922860106988274,16.83687345493682,0.12237974468496012
2026-01-21,15.966332092731108,92.27754508342728,-384413.92449089343,13855.000000000002,5081.597457713402,8485.672589702835,-91334.32741029716,24.24226431985158,15.230008938653562,0.12528286034045594
2026-01-22,15.966332092731108,92.27754508342728,-384413.92449089343,17135.0,6548.0204080143385,8786.037909081359,-91033.96209091865,26.01768858903206,17.393343702122007,0.1265600836394197
2026-01-23,15.966332092731108,92.27754508342728,-384413.92449089343,11990.0,4373.580616115237,7904.720499810872,-91915.27950018912,21.783501453475115,13.267458508430598,0.13293172424581504
2026-01-27,15.966332092731108,92.27754508342728,-384413.92449089343,14435.0,5448.2620301144625,8558.134506563758,-91261.86549343624,22.15177996875054,14.186224846525999,0.14162385015077197
2026-01-28,15.966332092731108,92.27754508342728,-384413.92449089343,13644.999999999998,4392.970134719656,10964.808286887512,-88855.1917131125,22.804034241031374,13.58722704540139,0.12167805712195913
2026-01-29,15.966332092731108,92.27754508342728,-384413.92449089343,15150.0,4921.2126741349475,11203.887015164262,-88616.11298483574,23.430289998180914,14.399612404677184,0.12171335983186714
2026-01-30,15.966332092731108,92.27754508342728,-384413.92449089343,12195.0,3731.391990173539,11400.374203092058,-88419.62579690795,21.187528461328046,12.031635528565129,0.1234830871932585
2026-02-01,15.966332092731108,92.27754508342728,-384413.92449089343,4940.0,1343.766356756791,8361.220917354858,-91458.77908264514,12.30184421938233,5.562735425508547,0.139431207682387
2026-02-02,15.966332092731108,92.27754508342728,-384413.92449089343,5230.0,1148.8178157091736,12074.619400090902,-87745.3805999091,13.811792652988858,5.5436119257685315,0.11894952900906612
2026-02-03,15.966332092731108,92.27754508342728,-384413.92449089343,20255.0,6076.045465069813,12181.728206520598,-87638.2717934794,23.94968257173199,15.954807179769439,0.11399977141482692
2026-02-04,15.966332092731108,92.27754508342728,-384413.92449089343,19650.0,5305.4712917099405,12789.722823053555,-87030.27717694645,23.632259654832747,15.240593149417927,0.10647232042855742
